# .test .cputime .temperature .time_mat1 .time_mat2
354 0.391181  6.331 0.004020 0.006236
355 0.386033  7.305 0.004009 0.006310
356 0.394297  7.305 0.004259 0.007512
357 0.384065  6.818 0.004035 0.006534
358 0.383885  7.305 0.004104 0.006609
359 0.384547  7.305 0.004043 0.006639
360 0.388813  6.818 0.004143 0.006615
361 0.391885  7.305 0.004189 0.006477
362 0.400567  7.305 0.004235 0.006563
363 0.391844  7.792 0.004289 0.006698
364 0.392989  6.818 0.004362 0.006711
365 0.391076  6.818 0.004398 0.006758
366 0.413493  7.305 0.004394 0.006767
367 0.394497  7.792 0.004483 0.006750
368 0.394345  7.305 0.004448 0.006848
369 0.408651  7.792 0.004456 0.006779
370 0.397104  7.792 0.004481 0.006904
371 0.401378  6.331 0.004539 0.006913
372 0.402329  7.305 0.004538 0.007031
373 0.400381  6.818 0.004403 0.007130
374 0.405334  6.818 0.004577 0.007177
375 0.401299  7.792 0.004602 0.007172
376 0.405262  7.792 0.004546 0.007480
377 0.406048  7.305 0.004584 0.007382
378 0.424136  7.305 0.004651 0.007224
379 0.409785  6.818 0.004668 0.007326
380 0.416957  8.279 0.004723 0.008212
381 0.411189  7.305 0.004680 0.007631
382 0.408417  7.305 0.004701 0.007338
383 0.409987  7.792 0.004803 0.007423
384 0.414142  7.305 0.004637 0.007542
385 0.416736  7.305 0.004774 0.007666
386 0.414202  6.818 0.004796 0.007638
387 0.417074  7.305 0.004859 0.007661
388 0.419766  7.305 0.004831 0.007784
389 0.415722  7.305 0.004926 0.007827
390 0.427130  7.792 0.004980 0.008060
391 0.420665  7.305 0.004983 0.007852
392 0.425250  8.279 0.004925 0.007913
393 0.417771  8.279 0.005052 0.007958
394 0.430597  7.305 0.004954 0.008121
395 0.433200  7.792 0.005061 0.008035
396 0.425189  7.792 0.005112 0.008101
397 0.440153  7.305 0.005094 0.008227
398 0.424717  7.305 0.005083 0.008134
399 0.427622  7.305 0.005119 0.008325
400 0.427350  8.279 0.005156 0.008678
401 0.456305  8.766 0.005196 0.008309
402 0.442572  8.279 0.005213 0.008825
403 0.446769  6.818 0.005242 0.008500
404 0.439864  8.766 0.005260 0.008477
405 0.432435  7.792 0.005274 0.008587
406 0.434522  7.792 0.005148 0.008676
407 0.432634  7.792 0.005254 0.008592
408 0.440385  7.305 0.005191 0.008877
409 0.435486  8.279 0.005407 0.008625
410 0.447149  8.766 0.005344 0.008663
411 0.443852  6.818 0.005459 0.008895
412 0.458483  8.766 0.005483 0.008802
413 0.449271  7.305 0.005510 0.008879
414 0.443523  8.279 0.005496 0.009048
415 0.449899  8.279 0.005609 0.008838
416 0.453451  7.792 0.005589 0.008906
417 0.445665  8.279 0.005577 0.009076
418 0.448486  7.792 0.005676 0.009016
419 0.456346  7.792 0.005675 0.009101
420 0.447710  8.766 0.005687 0.009231
421 0.450471  7.792 0.005552 0.009194
422 0.451784  9.253 0.005667 0.009195
423 0.460495  8.279 0.005915 0.010098
424 0.453789  7.792 0.005672 0.009312
425 0.457426  8.766 0.005673 0.009463
426 0.455006  8.279 0.005670 0.009447
427 0.457809  7.305 0.005641 0.009465
428 0.451490  7.792 0.005962 0.009673
429 0.471545  7.792 0.005877 0.009735
430 0.466557  8.279 0.005928 0.009586
431 0.459275  8.766 0.005919 0.009626
432 0.456818  7.792 0.005956 0.009892
433 0.471763  7.792 0.006123 0.010716
434 0.462831  7.792 0.006000 0.009757
435 0.464269  7.792 0.005903 0.009871
436 0.484598  8.279 0.005975 0.009970
437 0.474829  7.305 0.006045 0.010206
438 0.463478  8.766 0.006094 0.009941
439 0.473203  8.279 0.006054 0.009984
440 0.469397  7.792 0.006082 0.010268
441 0.470885  7.792 0.006108 0.010135
442 0.470010  7.792 0.006034 0.010247
443 0.470158  7.792 0.006064 0.010162
444 0.488667  8.766 0.006051 0.010362
445 0.472466  8.279 0.006124 0.011246
446 0.477880  7.792 0.006244 0.010385
447 0.475018  7.305 0.006279 0.010455
448 0.475154  8.766 0.006290 0.010648
449 0.476713  9.253 0.006281 0.010897
450 0.486968  7.792 0.006383 0.010592
451 0.473951  8.279 0.006326 0.010660
452 0.487437  8.766 0.006445 0.010771
453 0.479559  8.766 0.006422 0.011057
454 0.498533  9.253 0.006460 0.010754
455 0.482800  8.279 0.006435 0.011390
456 0.485641  8.766 0.006554 0.011036
457 0.484128  7.792 0.006558 0.011069
458 0.484621  8.279 0.006598 0.011010
459 0.486039  8.766 0.006603 0.010957
460 0.494609  9.253 0.006656 0.011126
461 0.490586  8.279 0.006700 0.011223
462 0.487473  8.766 0.006670 0.011126
463 0.489445  8.766 0.006671 0.011310
464 0.494534  9.253 0.006783 0.011259
465 0.505479  9.740 0.006797 0.011305
466 0.504300  7.792 0.006776 0.011519
467 0.491316  8.279 0.006826 0.011517
468 0.495294  7.792 0.006898 0.011481
469 0.497846  8.766 0.006927 0.011599
470 0.497202  7.792 0.006925 0.011584
471 0.496745  9.253 0.006945 0.011983
472 0.505298  8.279 0.006992 0.011757
473 0.511852  8.279 0.007027 0.011691
474 0.500434  9.253 0.006965 0.011765
475 0.508445  8.766 0.007041 0.011889
476 0.504145  8.766 0.007098 0.011829
477 0.506228  8.766 0.007061 0.012167
478 0.512918  8.279 0.007164 0.012074
479 0.504460  8.279 0.007277 0.012294
480 0.504509  8.279 0.007158 0.012081
481 0.507401  7.792 0.007205 0.012091
482 0.509560  8.279 0.007217 0.012287
483 0.534652  8.766 0.007304 0.012385
484 0.523282  8.279 0.007301 0.012336
485 0.518907  8.279 0.007158 0.012413
486 0.511927  8.766 0.007440 0.012467
487 0.518513  8.279 0.007414 0.012588
488 0.519609  8.766 0.007473 0.012894
489 0.523201  8.766 0.007240 0.012736
490 0.515862  9.253 0.007545 0.012772
491 0.516444  9.253 0.007275 0.012696
492 0.532561  8.279 0.007343 0.013003
493 0.514918  9.253 0.007431 0.012947
494 0.521436  8.766 0.007470 0.012984
495 0.528189  7.792 0.007510 0.013194
496 0.522838  8.766 0.007618 0.013196
497 0.521589  8.279 0.008008 0.013062
498 0.522908  9.253 0.007518 0.013160
499 0.606014  8.766 0.007730 0.013237
500 0.613821  8.766 0.007561 0.013302
